Record ID#,property_id,Refresh key: property,Floorplan Name,Refresh key: floorplan_name,Related Floorplan,rentable_unit_count,Floorplan - Total Beds,Bed Count Variance,occupied_count,PLR Signed Leases,preleased_count,Signed Leases Variance
827,,The Academy at Frisco,D3,D3,118,16,16,0,16,16,0,16
828,,The Academy at Frisco,D4,D4,119,40,40,0,40,43,0,43
829,,The Academy at Frisco,D5,D5,120,76,76,0,76,81,0,81
1045,,The Academy at Frisco,,Not Selected,,0,,0,0,,0,0
831,,The Academy at Frisco,Studio,Studio,122,20,20,0,20,24,0,24
838,,The Academy on Charles,A1,A1,127,1,1,0,1,1,0,1
839,,The Academy on Charles,A2,A2,128,1,1,0,1,1,0,1
840,,The Academy on Charles,B1,B1,129,10,10,0,10,10,0,10
841,,The Academy on Charles,B2,B2,130,8,8,0,8,8,0,8
842,,The Academy on Charles,B3,B3,131,6,6,0,6,6,0,6
843,,The Academy on Charles,B4,B4,132,8,8,0,8,8,0,8
844,,The Academy on Charles,B5,B5,133,8,8,0,8,8,0,8
845,,The Academy on Charles,B6,B6,134,10,10,0,10,10,0,10
846,,The Academy on Charles,C1,C1,135,12,12,0,12,13,0,13
847,,The Academy on Charles,C2,C2,136,36,36,0,36,36,0,36
848,,The Academy on Charles,C3,C3,137,24,24,0,24,24,0,24
849,,The Academy on Charles,C4,C4,138,3,3,0,3,4,0,4
850,,The Academy on Charles,D1,D1,139,104,104,0,104,106,0,106
851,,The Academy on Charles,D2,D2,140,40,40,0,40,41,0,41
852,,The Academy on Charles,D3,D3,141,20,20,0,20,22,0,22
853,,The Academy on Charles,D4,D4,142,32,32,0,32,32,0,32
1006,,The Academy on Charles,,Not Selected,,0,,0,0,,0,0
855,,The Academy on Charles,S1,S1,143,4,4,0,4,4,0,4
856,,The Academy on Charles,S2,S2,144,1,1,0,1,1,0,1
1024,,The Caswell at Runnymeade,,A1.1,,3,,3,3,,0,0
1025,,The Caswell at Runnymeade,,A1.2,,2,,2,2,,0,0
1026,,The Caswell at Runnymeade,,A2,,4,,4,3,,0,0
1027,,The Caswell at Runnymeade,,A3,,16,,16,14,,0,0
1028,,The Caswell at Runnymeade,,A4,,16,,16,15,,0,0
1029,,The Caswell at Runnymeade,,A5.1,,6,,6,6,,0,0
1030,,The Caswell at Runnymeade,,A5.2,,6,,6,6,,0,0
1031,,The Caswell at Runnymeade,,A6,,4,,4,3,,0,0
1032,,The Caswell at Runnymeade,,A7,,8,,8,8,,0,0
1033,,The Caswell at Runnymeade,,B1,,83,,83,54,,0,0
1034,,The Caswell at Runnymeade,,B1.2,,7,,7,6,,0,0
1035,,The Caswell at Runnymeade,,B2,,38,,38,21,,0,0
