Lease ID,Lease Interval ID,Scheduled Charge ID,Charge Code ID,Charge Code,Charge Type,Charge Start Date,Charge End Date,Charge Amount,Charge Frequency,timestamp,owner,xQuery - Related Lease,Related Code,Charge Usage,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By
"13,314,250","16,891,013","40,950,814","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$935,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10705,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,314,259","16,891,252","40,951,701","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10706,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,314,259","16,891,252","40,951,618","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$925,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10707,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,012","16,856,795","40,829,608","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,"$1,015",Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10708,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,012","16,856,795","40,829,688","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10709,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,186","16,857,762","40,831,753","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,"$1,195",Monthly,1669105271,gmh,"30,767","147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10710,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,186","16,857,762","40,831,785","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,"30,767","148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10711,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,186","16,857,762","40,891,040","149,017",Deferred Rent - June 2024,Security Deposit,09-30-2022,,$15,One-Time,1669105271,gmh,"30,767","149,017",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10712,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,186","16,857,762","40,891,041","149,015",Deferred Rent - July 2024,Security Deposit,09-30-2022,,$15,One-Time,1669105271,gmh,"30,767","149,015",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10713,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,645","16,857,562","40,831,573","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10714,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,645","16,857,562","40,831,478","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$855,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10715,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,646","16,857,569","40,831,583","148,134",Garage Parking,other,08-01-2023,07-31-2024,$20,Monthly,1669105271,gmh,,"148,134",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10716,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,646","16,857,569","40,831,485","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$855,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10717,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,646","16,857,569","40,831,582","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10718,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,647","16,857,575","40,831,590","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10719,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,647","16,857,575","40,831,491","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$855,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10720,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,648","16,857,567","40,831,579","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10721,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,648","16,857,567","40,831,483","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$855,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10722,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,722","16,891,248","40,951,610","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$900,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10723,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,722","16,891,248","40,951,691","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10724,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,729","16,890,925","40,950,489","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$900,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10725,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,729","16,890,925","40,950,577","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10726,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,783","16,862,048","40,841,830","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$850,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10727,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,783","16,862,048","40,841,986","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10728,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,784","16,862,114","40,841,896","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$850,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10729,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,315,784","16,862,114","40,842,062","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10730,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
