Record ID#,Refresh key: property,Floorplan Name,Refresh key: floorplan_name,Related Floorplan,rentable_unit_count,Floorplan - Total Beds,xAudit - Bed Variance,occupied_count,"Floorplan - # of Signed Leases, Current Term",preleased_count,xAudit - Lease Variance,approved_count,completed_count,Date Created,Date Modified,excluded_unit_count,Floorplan - Property Name,Floorplan - Rentable Beds,Floorplan - Unit Type,Last Modified By,preleased_new_count,preleased_renewal_count,Property - Floorplan,property_id,Record Owner,Refresh key,units,xProperty Name,xUnit Type,xSigned Leases
874,The Dean Campustown,M1,M1,177,84,84,0,82,90,0,90,84,0,07-12-2022 12:41 PM,07-19-2024 02:15 AM,0,The Dean Campustown,84,0 x 1,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Dean Campustown_M1,84,The Dean Campustown,,0
946,Torre,TH - D8 - SEMI-SHARED,TH - D8 - SEMI-SHARED,333,6,6,0,3,6,0,6,6,0,07-12-2022 12:41 PM,07-19-2024 02:15 AM,0,Torre,6,0 x 0,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Torre_TH - D8 - SEMI-SHARED,6,Torre,,0
962,The Dean Reno,D1,D1,363,180,180,0,118,164,0,164,137,0,10-11-2022 02:14 AM,07-19-2024 02:15 AM,0,The Dean Reno,180,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Dean Reno_D1,180,The Dean Reno,,0
963,The Dean Reno,D2,D2,364,140,140,0,92,120,0,120,111,0,10-11-2022 02:14 AM,07-19-2024 02:15 AM,0,The Dean Reno,140,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Dean Reno_D2,140,The Dean Reno,,0
965,The Dean Reno,D4,D4,366,45,45,0,27,28,0,28,21,1,10-11-2022 02:14 AM,07-19-2024 02:15 AM,0,The Dean Reno,45,5 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Dean Reno_D4,45,The Dean Reno,,0
969,The Dean Reno,E3,E3,369,45,45,0,41,40,0,40,36,0,10-11-2022 02:14 AM,07-19-2024 02:15 AM,0,The Dean Reno,45,5 x 3,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Dean Reno_E3,45,The Dean Reno,,0
989,The Dean Reno,E1 Alt,E1 Alt,403,45,45,0,31,37,0,37,37,0,08-29-2023 03:16 AM,07-19-2024 02:15 AM,0,The Dean Reno,45,5 x 3,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Dean Reno_E1 Alt,45,The Dean Reno,,0
1015,Venue at North Campus,B,B,405,96,96,0,82,105,0,105,94,0,11-14-2023 01:15 AM,07-19-2024 02:15 AM,0,The Venue at North Campus,96,2 x 2,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Venue at North Campus_B,96,Venue at North Campus,,0
698,501 S. 6th,C1,C1,29,12,12,0,12,12,0,12,12,0,07-12-2022 11:07 AM,07-18-2024 02:15 AM,0,Campustown 501 S. 6th,12,3 x 2,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,501 S. 6th_C1,12,501 S. 6th,,0
699,501 S. 6th,C2,C2,30,12,12,0,12,12,0,12,12,0,07-12-2022 11:07 AM,07-18-2024 02:15 AM,0,Campustown 501 S. 6th,12,3 x 2,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,501 S. 6th_C2,12,501 S. 6th,,0
700,501 S. 6th,D1,D1,31,16,16,0,16,16,0,16,16,0,07-12-2022 11:07 AM,07-18-2024 02:15 AM,0,Campustown 501 S. 6th,16,4 x 2,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,501 S. 6th_D1,16,501 S. 6th,,0
701,501 S. 6th,D2,D2,32,16,16,0,16,17,0,17,16,0,07-12-2022 11:07 AM,07-18-2024 02:15 AM,0,Campustown 501 S. 6th,16,4 x 2,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,501 S. 6th_D2,16,501 S. 6th,,0
703,501 S. 6th,E1 Townhome,E1 Townhome,34,20,20,0,20,22,0,22,20,0,07-12-2022 11:07 AM,07-18-2024 02:15 AM,0,Campustown 501 S. 6th,20,5 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,501 S. 6th_E1 Townhome,20,501 S. 6th,,0
706,908 S. 1st,A1,A1,36,16,16,0,15,17,0,17,16,0,07-12-2022 11:07 AM,07-18-2024 02:15 AM,0,Campustown 908 S. 1st,16,1 x 1,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,908 S. 1st_A1,16,908 S. 1st,,0
